Employee_Number,Age,CF_age_band,Gender,Marital_Status,Department,Job_Role,Job_Level,Education,Education_Field,Total_Working_Years,Years_At_Company,Years_In_Current_Role,Years_Since_Last_Promotion,Years_With_Curr_Manager,Monthly_Income,Percent_Salary_Hike,Stock_Option_Level,Job_Satisfaction,Environment_Satisfaction,Relationship_Satisfaction,Work_Life_Balance,Job_Involvement,Performance_Rating,Over_Time,Business_Travel,Distance_From_Home,Training_Times_Last_Year,Num_Companies_Worked,Attrition,CF_attrition_label,CF_current_Employee,Hourly_Rate,Daily_Rate,Monthly_Rate,Employee_Count,Standard_Hours,Over18
STAFF-113,27,25 - 34,Female,Divorced,Finance,Financial Analyst,2,Associates Degree,Human Resources,4,2,2,0,2,7873,14,1,2,4,4,3,3,1,No,Non-Travel,3,6,1,No,Current Employees,1,76,1000,11329,1,80,Y
STAFF-114,35,35 - 44,Male,Married,R&D,Laboratory Technician,4,Bachelor's Degree,Human Resources,19,1,1,1,0,11798,22,0,4,1,3,4,1,3,No,Non-Travel,2,4,1,No,Current Employees,1,48,1251,8723,1,80,Y
STAFF-115,38,35 - 44,Male,Married,IT,IT Support,3,Bachelor's Degree,Human Resources,20,2,1,0,1,10877,17,0,2,2,1,3,3,3,No,Travel_Rarely,2,3,3,No,Current Employees,1,79,1027,10252,1,80,Y
STAFF-116,49,45 - 54,Female,Single,Finance,Financial Analyst,1,PhD,Marketing,18,1,1,1,1,6466,22,3,2,3,4,4,3,2,No,Travel_Rarely,8,2,1,No,Current Employees,1,77,1112,14934,1,80,Y
STAFF-117,33,25 - 34,Male,Divorced,IT,Software Engineer,1,High School,Other,17,2,0,0,0,7933,21,1,4,4,4,3,2,3,No,Travel_Rarely,6,4,1,No,Current Employees,1,69,478,20272,1,80,Y
STAFF-118,36,35 - 44,Male,Single,HR,HR Specialist,1,Bachelor's Degree,Life Sciences,20,3,1,0,1,8052,14,1,2,3,4,3,3,2,No,Non-Travel,15,2,1,Yes,Ex-Employees,0,80,979,8319,1,80,Y
STAFF-119,31,25 - 34,Female,Married,Marketing,Marketing Specialist,4,Bachelor's Degree,Technical Degree,2,2,0,0,0,10010,4,1,4,2,2,3,4,3,No,Travel_Frequently,17,0,1,Yes,Ex-Employees,0,69,1021,19050,1,80,Y
STAFF-120,24,Under 25,Female,Divorced,HR,Recruiter,2,Master's Degree,Medical,4,3,0,0,3,8095,11,2,1,3,3,3,3,2,No,Travel_Frequently,11,3,1,Yes,Ex-Employees,0,57,1210,14519,1,80,Y
STAFF-121,22,Under 25,Female,Married,Sales,Sales Representative,1,High School,Human Resources,6,6,0,0,0,7814,8,2,1,2,4,4,3,3,No,Non-Travel,3,3,1,Yes,Ex-Employees,0,82,1250,14619,1,80,Y
STAFF-122,22,Under 25,Female,Single,Sales,Sales Representative,2,Master's Degree,Technical Degree,0,0,0,0,0,7281,12,0,1,4,2,3,1,1,No,Travel_Rarely,1,6,2,No,Current Employees,1,63,1311,21234,1,80,Y
STAFF-123,34,25 - 34,Male,Married,R&D,Manufacturing Director,2,Bachelor's Degree,Technical Degree,10,3,1,1,3,9064,21,0,1,1,4,2,3,4,No,Travel_Rarely,28,4,3,No,Current Employees,1,73,670,16901,1,80,Y
STAFF-124,33,25 - 34,Male,Single,Marketing,Marketing Manager,3,Associates Degree,Life Sciences,7,7,4,0,2,14719,26,0,3,2,4,1,3,3,No,Travel_Rarely,1,0,1,Yes,Ex-Employees,0,51,580,14652,1,80,Y
STAFF-125,43,35 - 44,Male,Divorced,R&D,Healthcare Representative,2,High School,Technical Degree,17,2,1,1,2,10757,13,0,1,3,1,2,1,3,Yes,Non-Travel,5,0,3,Yes,Ex-Employees,0,59,886,14772,1,80,Y
STAFF-126,30,25 - 34,Female,Single,R&D,Healthcare Representative,1,Bachelor's Degree,Life Sciences,9,0,0,0,0,6196,16,0,1,1,4,2,4,3,No,Travel_Rarely,21,1,1,Yes,Ex-Employees,0,75,858,18475,1,80,Y
STAFF-127,20,Under 25,Female,Married,HR,HR Specialist,1,PhD,Life Sciences,2,2,1,0,2,9914,12,2,1,1,4,3,4,2,No,Travel_Rarely,2,2,1,No,Current Employees,1,37,734,12513,1,80,Y
STAFF-128,28,25 - 34,Female,Married,Finance,Finance Manager,3,Master's Degree,Technical Degree,6,0,0,0,0,11249,10,1,2,3,4,1,2,3,Yes,Non-Travel,8,1,2,No,Current Employees,1,52,843,18082,1,80,Y
STAFF-129,37,35 - 44,Female,Divorced,IT,Data Analyst,2,Bachelor's Degree,Marketing,16,1,0,0,1,8033,19,0,4,1,2,1,2,1,No,Non-Travel,1,2,2,No,Current Employees,1,50,460,27058,1,80,Y
STAFF-130,50,45 - 54,Male,Single,Finance,Finance Manager,2,Bachelor's Degree,Medical,31,3,1,0,0,8901,17,1,3,2,3,3,2,3,Yes,Travel_Rarely,4,6,3,No,Current Employees,1,67,856,9078,1,80,Y
STAFF-131,36,35 - 44,Female,Married,Marketing,Marketing Manager,1,Bachelor's Degree,Medical,17,2,0,0,1,5928,19,3,4,3,4,2,2,3,No,Non-Travel,4,6,2,No,Current Employees,1,56,964,15379,1,80,Y
STAFF-132,18,Under 25,Female,Divorced,HR,Recruiter,2,Master's Degree,Human Resources,0,0,0,0,0,6657,21,0,3,2,1,3,4,3,No,Travel_Rarely,9,6,1,Yes,Ex-Employees,0,68,1105,15071,1,80,Y
STAFF-133,19,Under 25,Female,Married,HR,Recruiter,2,Bachelor's Degree,Medical,0,0,0,0,0,11439,12,0,3,2,1,3,4,3,No,Travel_Rarely,14,3,1,No,Current Employees,1,71,724,21254,1,80,Y
STAFF-134,37,35 - 44,Male,Single,HR,HR Manager,3,Associates Degree,Marketing,9,0,0,0,0,10534,10,2,3,3,1,3,4,3,No,Travel_Frequently,1,1,1,Yes,Ex-Employees,0,30,1178,13360,1,80,Y
STAFF-135,31,25 - 34,Male,Married,R&D,Laboratory Technician,1,Master's Degree,Medical,4,0,0,0,0,7736,13,0,4,1,2,2,3,3,Yes,Non-Travel,6,4,1,No,Current Employees,1,113,1190,12201,1,80,Y
STAFF-136,38,35 - 44,Female,Divorced,Marketing,Content Creator,1,Bachelor's Degree,Technical Degree,15,5,3,0,0,4021,11,0,4,1,2,3,4,3,Yes,Travel_Rarely,1,4,2,No,Current Employees,1,75,721,23428,1,80,Y
STAFF-137,38,35 - 44,Female,Single,Finance,Accountant,1,Master's Degree,Medical,24,0,0,0,0,5024,18,0,2,4,4,3,3,3,Yes,Non-Travel,4,6,2,No,Current Employees,1,93,457,13116,1,80,Y
STAFF-138,32,25 - 34,Female,Divorced,Sales,Sales Executive,4,Bachelor's Degree,Technical Degree,14,6,0,0,1,10245,11,0,1,4,4,4,4,4,Yes,Travel_Frequently,9,6,4,Yes,Ex-Employees,0,76,467,18308,1,80,Y
STAFF-139,41,35 - 44,Male,Divorced,Sales,Manager,2,Bachelor's Degree,Other,23,1,1,1,1,6419,24,1,2,4,1,4,3,3,Yes,Travel_Rarely,2,0,3,No,Current Employees,1,72,429,10000,1,80,Y
STAFF-140,32,25 - 34,Male,Married,Sales,Sales Executive,2,Bachelor's Degree,Human Resources,15,5,1,1,2,12440,14,1,1,2,2,1,2,1,No,Travel_Rarely,1,4,3,Yes,Ex-Employees,0,73,580,16144,1,80,Y
STAFF-141,18,Under 25,Female,Divorced,IT,Software Engineer,1,Master's Degree,Human Resources,0,0,0,0,0,6665,17,2,3,2,3,3,1,4,Yes,Travel_Rarely,18,4,2,Yes,Ex-Employees,0,70,1035,9949,1,80,Y
STAFF-142,24,Under 25,Male,Divorced,HR,HR Manager,2,PhD,Marketing,0,0,0,0,0,10998,16,0,3,2,2,1,3,3,No,Non-Travel,3,3,4,Yes,Ex-Employees,0,63,1093,13694,1,80,Y
STAFF-143,18,Under 25,Female,Married,R&D,Research Scientist,2,Bachelor's Degree,Other,1,1,1,0,1,9284,10,1,4,1,3,4,4,3,No,Travel_Frequently,1,4,1,Yes,Ex-Employees,0,63,505,20609,1,80,Y
STAFF-144,58,Over 55,Female,Single,Finance,Finance Manager,2,Associates Degree,Medical,32,0,0,0,0,11359,6,1,1,2,4,1,3,4,No,Travel_Rarely,1,6,1,No,Current Employees,1,57,753,18830,1,80,Y
STAFF-145,45,45 - 54,Female,Divorced,R&D,Healthcare Representative,4,High School,Technical Degree,18,4,1,0,4,13327,10,1,3,1,2,1,4,2,Yes,Non-Travel,5,5,1,Yes,Ex-Employees,0,95,1244,5000,1,80,Y
STAFF-146,25,25 - 34,Male,Single,R&D,Laboratory Technician,2,Bachelor's Degree,Other,0,0,0,0,0,8397,18,0,4,1,4,2,4,3,Yes,Travel_Rarely,9,6,1,Yes,Ex-Employees,0,67,562,13978,1,80,Y
STAFF-147,43,35 - 44,Female,Divorced,Finance,Financial Analyst,2,PhD,Medical,20,1,1,0,1,10803,16,0,2,2,3,2,4,3,No,Travel_Frequently,12,6,2,No,Current Employees,1,62,1222,16993,1,80,Y
STAFF-148,30,25 - 34,Female,Single,Marketing,Content Creator,1,Master's Degree,Human Resources,12,0,0,0,0,6669,13,0,2,4,2,1,2,3,No,Travel_Frequently,1,2,5,Yes,Ex-Employees,0,74,1203,17611,1,80,Y
STAFF-149,34,25 - 34,Female,Divorced,Marketing,Content Creator,2,Associates Degree,Human Resources,5,2,1,0,0,9211,22,0,2,3,3,2,4,2,Yes,Travel_Rarely,1,3,1,Yes,Ex-Employees,0,48,613,13842,1,80,Y
STAFF-150,34,25 - 34,Female,Single,HR,HR Manager,2,High School,Human Resources,17,15,0,0,0,9786,19,0,1,1,4,1,2,3,No,Travel_Rarely,4,1,1,Yes,Ex-Employees,0,30,511,17512,1,80,Y
STAFF-151,33,25 - 34,Female,Divorced,R&D,Healthcare Representative,2,High School,Medical,8,3,1,0,3,9085,12,1,1,1,1,1,2,3,Yes,Travel_Rarely,1,4,2,Yes,Ex-Employees,0,83,813,15255,1,80,Y
STAFF-152,29,25 - 34,Male,Married,HR,Recruiter,1,Bachelor's Degree,Technical Degree,0,0,0,0,0,9398,10,3,3,4,3,4,2,2,No,Non-Travel,9,2,1,Yes,Ex-Employees,0,97,280,24416,1,80,Y
STAFF-153,32,25 - 34,Female,Married,Marketing,Content Creator,2,Bachelor's Degree,Human Resources,4,1,1,1,1,9779,8,0,1,1,3,3,4,4,No,Non-Travel,1,2,3,Yes,Ex-Employees,0,57,721,27207,1,80,Y
STAFF-154,31,25 - 34,Male,Single,IT,Software Engineer,1,Master's Degree,Technical Degree,5,3,0,0,1,7479,16,0,3,2,2,4,4,1,Yes,Travel_Rarely,1,0,2,Yes,Ex-Employees,0,45,1175,16958,1,80,Y
STAFF-155,50,45 - 54,Female,Married,HR,HR Manager,1,High School,Other,25,2,0,0,0,5400,21,1,2,1,2,2,1,2,No,Non-Travel,1,5,1,No,Current Employees,1,88,491,10457,1,80,Y
STAFF-156,41,35 - 44,Female,Single,IT,IT Support,1,Master's Degree,Life Sciences,9,3,3,3,3,6526,8,1,3,2,4,1,4,1,Yes,Non-Travel,18,3,1,Yes,Ex-Employees,0,56,337,8031,1,80,Y
STAFF-157,30,25 - 34,Female,Single,R&D,Research Scientist,1,Master's Degree,Human Resources,3,3,2,1,0,7070,7,0,2,4,4,1,1,2,Yes,Travel_Rarely,2,0,5,Yes,Ex-Employees,0,41,719,17315,1,80,Y
STAFF-158,31,25 - 34,Female,Married,R&D,Manufacturing Director,1,Associates Degree,Human Resources,21,7,4,2,0,8324,19,2,2,4,3,2,3,2,Yes,Non-Travel,1,4,4,Yes,Ex-Employees,0,50,920,11390,1,80,Y
STAFF-159,43,35 - 44,Female,Single,Finance,Finance Manager,3,Master's Degree,Technical Degree,26,6,0,0,2,10874,24,3,1,3,3,2,1,3,No,Non-Travel,10,6,1,No,Current Employees,1,59,1061,13424,1,80,Y
STAFF-160,29,25 - 34,Female,Married,Sales,Sales Representative,1,Associates Degree,Human Resources,8,6,0,0,2,8189,20,0,3,1,1,2,3,1,No,Non-Travel,1,0,2,Yes,Ex-Employees,0,61,734,10068,1,80,Y
STAFF-161,33,25 - 34,Male,Married,Sales,Sales Executive,3,PhD,Other,7,1,1,1,1,10476,20,0,2,2,4,1,1,4,Yes,Non-Travel,1,6,1,Yes,Ex-Employees,0,30,377,12956,1,80,Y
STAFF-162,39,35 - 44,Female,Divorced,IT,Data Analyst,1,Associates Degree,Life Sciences,20,3,3,1,0,8660,11,0,3,3,3,4,3,4,No,Non-Travel,11,5,3,No,Current Employees,1,30,859,15830,1,80,Y
STAFF-163,42,35 - 44,Female,Divorced,Marketing,Marketing Specialist,1,Master's Degree,Technical Degree,25,2,0,0,0,7721,9,1,4,2,1,4,4,4,No,Non-Travel,6,6,1,No,Current Employees,1,49,398,15798,1,80,Y
STAFF-164,28,25 - 34,Male,Divorced,Finance,Finance Manager,2,Associates Degree,Medical,5,1,1,1,1,11537,15,2,2,4,2,3,1,4,No,Non-Travel,8,5,1,No,Current Employees,1,91,772,8546,1,80,Y
STAFF-165,28,25 - 34,Female,Married,HR,HR Manager,1,Associates Degree,Life Sciences,8,1,0,0,1,7002,18,0,3,4,1,3,2,3,No,Travel_Frequently,24,6,3,Yes,Ex-Employees,0,91,726,10280,1,80,Y
STAFF-166,28,25 - 34,Male,Divorced,R&D,Manufacturing Director,3,Bachelor's Degree,Other,9,9,0,0,6,12590,20,0,3,1,1,1,3,3,No,Travel_Frequently,5,5,5,Yes,Ex-Employees,0,74,874,21415,1,80,Y
STAFF-167,40,35 - 44,Female,Married,Sales,Manager,2,Associates Degree,Medical,19,5,2,1,0,8890,9,2,3,4,4,4,2,3,No,Travel_Rarely,11,5,1,No,Current Employees,1,87,548,21772,1,80,Y
STAFF-168,20,Under 25,Female,Married,R&D,Research Scientist,1,Associates Degree,Other,0,0,0,0,0,8602,15,0,2,4,2,4,4,3,No,Non-Travel,4,1,1,No,Current Employees,1,61,1085,16215,1,80,Y
STAFF-169,19,Under 25,Female,Single,HR,HR Specialist,1,Bachelor's Degree,Human Resources,0,0,0,0,0,2650,13,0,2,3,1,4,1,3,No,Travel_Frequently,3,6,1,No,Current Employees,1,97,1300,10287,1,80,Y
STAFF-170,51,45 - 54,Female,Married,Finance,Accountant,1,Bachelor's Degree,Human Resources,27,3,0,0,1,5604,13,0,1,4,3,3,4,3,No,Travel_Rarely,25,5,1,Yes,Ex-Employees,0,58,385,9095,1,80,Y
STAFF-171,24,Under 25,Male,Divorced,Sales,Manager,1,High School,Marketing,0,0,0,0,0,5007,14,1,2,4,4,3,3,3,No,Non-Travel,1,2,1,Yes,Ex-Employees,0,75,549,25920,1,80,Y
STAFF-172,40,35 - 44,Male,Married,IT,Data Analyst,1,Bachelor's Degree,Other,21,5,2,0,5,7073,18,1,2,2,1,2,1,3,No,Non-Travel,2,3,6,Yes,Ex-Employees,0,48,975,14232,1,80,Y
STAFF-173,18,Under 25,Male,Divorced,R&D,Manufacturing Director,1,Associates Degree,Human Resources,0,0,0,0,0,6167,21,1,1,2,4,2,2,2,No,Travel_Frequently,1,3,3,No,Current Employees,1,76,730,15146,1,80,Y
STAFF-174,32,25 - 34,Male,Divorced,Sales,Sales Representative,2,High School,Technical Degree,5,5,1,1,0,7859,14,0,1,4,4,4,3,3,Yes,Non-Travel,5,1,1,No,Current Employees,1,63,626,12595,1,80,Y
STAFF-175,41,35 - 44,Male,Married,R&D,Research Scientist,1,Associates Degree,Medical,18,2,1,0,0,5828,13,1,4,1,3,2,1,3,No,Travel_Frequently,7,3,1,No,Current Employees,1,61,541,8820,1,80,Y
STAFF-176,36,35 - 44,Male,Divorced,Marketing,Marketing Manager,1,Bachelor's Degree,Marketing,8,2,0,0,2,8696,15,2,4,2,3,1,1,1,No,Travel_Frequently,3,5,2,No,Current Employees,1,82,660,25247,1,80,Y
STAFF-177,32,25 - 34,Male,Divorced,Finance,Finance Manager,1,Associates Degree,Technical Degree,5,4,1,0,1,6455,4,0,1,1,3,3,4,3,Yes,Non-Travel,1,3,3,No,Current Employees,1,65,632,23522,1,80,Y
STAFF-178,22,Under 25,Female,Married,Finance,Finance Manager,3,Bachelor's Degree,Life Sciences,0,0,0,0,0,11974,19,2,1,1,3,2,3,3,Yes,Non-Travel,32,3,1,No,Current Employees,1,106,971,18220,1,80,Y
STAFF-179,19,Under 25,Male,Single,IT,Software Engineer,1,Bachelor's Degree,Medical,0,0,0,0,0,5812,16,2,3,3,4,3,2,3,No,Travel_Rarely,1,6,1,Yes,Ex-Employees,0,62,683,14720,1,80,Y
STAFF-180,38,35 - 44,Female,Divorced,Sales,Manager,2,Master's Degree,Other,17,2,2,2,1,9582,14,0,2,1,2,2,4,3,No,Travel_Rarely,1,3,3,No,Current Employees,1,30,833,20730,1,80,Y
STAFF-181,34,25 - 34,Male,Divorced,Marketing,Marketing Manager,1,High School,Technical Degree,10,1,1,0,0,7689,14,3,1,3,2,4,2,3,No,Non-Travel,17,5,2,Yes,Ex-Employees,0,55,907,26745,1,80,Y
STAFF-182,27,25 - 34,Male,Married,Marketing,Content Creator,3,Associates Degree,Life Sciences,4,2,1,0,2,12645,7,3,3,4,4,2,1,4,No,Travel_Rarely,2,4,1,No,Current Employees,1,44,155,10876,1,80,Y
STAFF-183,48,45 - 54,Male,Divorced,IT,IT Support,3,Associates Degree,Medical,25,3,0,0,0,11883,15,0,4,3,2,3,1,1,No,Travel_Frequently,12,1,2,No,Current Employees,1,63,755,13448,1,80,Y
STAFF-184,28,25 - 34,Male,Married,Sales,Sales Executive,2,Bachelor's Degree,Medical,1,1,1,0,1,9266,4,1,3,3,1,4,4,3,No,Non-Travel,11,2,1,Yes,Ex-Employees,0,86,859,23157,1,80,Y
STAFF-185,41,35 - 44,Female,Divorced,Finance,Accountant,1,Master's Degree,Life Sciences,17,2,2,0,1,9937,15,0,3,4,4,1,4,3,No,Non-Travel,1,3,1,Yes,Ex-Employees,0,66,850,22611,1,80,Y
STAFF-186,35,35 - 44,Male,Married,Marketing,Marketing Specialist,3,High School,Technical Degree,10,0,0,0,0,11495,14,1,3,2,2,4,1,3,No,Travel_Frequently,4,2,1,Yes,Ex-Employees,0,43,837,10076,1,80,Y
STAFF-187,27,25 - 34,Male,Married,Marketing,Content Creator,1,Associates Degree,Life Sciences,13,0,0,0,0,6054,18,0,4,4,2,3,1,4,Yes,Travel_Rarely,12,5,2,Yes,Ex-Employees,0,51,1012,16118,1,80,Y
STAFF-188,33,25 - 34,Female,Married,Marketing,Content Creator,4,Associates Degree,Technical Degree,16,1,1,0,1,13195,6,1,2,3,1,4,1,1,No,Travel_Rarely,4,4,1,Yes,Ex-Employees,0,30,944,8831,1,80,Y
STAFF-189,33,25 - 34,Female,Divorced,HR,HR Specialist,2,PhD,Life Sciences,14,4,0,0,3,8105,25,0,3,1,3,2,2,3,No,Non-Travel,4,1,2,Yes,Ex-Employees,0,66,1116,10152,1,80,Y
STAFF-190,34,25 - 34,Male,Married,Finance,Financial Analyst,1,Master's Degree,Other,13,3,0,0,0,8753,12,2,1,3,4,2,2,4,No,Travel_Rarely,21,1,1,Yes,Ex-Employees,0,30,484,18761,1,80,Y
STAFF-191,38,35 - 44,Female,Divorced,HR,Recruiter,3,Bachelor's Degree,Medical,15,0,0,0,0,10843,11,2,4,2,1,3,2,2,No,Non-Travel,5,5,2,No,Current Employees,1,58,755,21435,1,80,Y
STAFF-192,22,Under 25,Male,Married,R&D,Healthcare Representative,2,High School,Technical Degree,5,5,1,0,0,8170,18,0,3,2,2,1,2,2,No,Non-Travel,6,4,2,Yes,Ex-Employees,0,76,192,16002,1,80,Y
STAFF-193,31,25 - 34,Male,Divorced,IT,Data Analyst,1,Bachelor's Degree,Medical,6,0,0,0,0,7143,12,0,2,1,1,1,2,1,No,Travel_Rarely,2,2,1,Yes,Ex-Employees,0,86,562,11536,1,80,Y
STAFF-194,36,35 - 44,Female,Married,Sales,Sales Executive,3,Bachelor's Degree,Medical,23,4,2,2,0,10308,18,1,1,1,1,3,2,2,No,Non-Travel,6,5,1,No,Current Employees,1,65,1286,8817,1,80,Y
STAFF-195,41,35 - 44,Male,Divorced,R&D,Laboratory Technician,2,Associates Degree,Technical Degree,26,1,1,0,1,7561,8,0,3,3,3,3,4,2,No,Non-Travel,18,6,5,Yes,Ex-Employees,0,30,1340,19172,1,80,Y
STAFF-196,18,Under 25,Male,Divorced,Sales,Manager,2,Master's Degree,Human Resources,0,0,0,0,0,11019,8,0,2,2,1,4,4,1,No,Travel_Rarely,2,4,1,Yes,Ex-Employees,0,79,608,16083,1,80,Y
STAFF-197,31,25 - 34,Male,Married,IT,Data Analyst,1,Bachelor's Degree,Technical Degree,16,1,1,0,1,7555,17,1,1,4,4,2,4,3,Yes,Travel_Frequently,8,6,1,Yes,Ex-Employees,0,81,847,23654,1,80,Y
STAFF-198,26,25 - 34,Male,Single,Finance,Financial Analyst,2,PhD,Life Sciences,4,2,2,0,0,6775,15,0,1,3,2,1,4,3,Yes,Non-Travel,4,3,1,Yes,Ex-Employees,0,69,504,14970,1,80,Y
STAFF-199,42,35 - 44,Male,Married,Marketing,Marketing Manager,1,Bachelor's Degree,Medical,28,3,0,0,2,7818,4,0,1,3,2,1,4,3,No,Travel_Rarely,12,1,2,No,Current Employees,1,50,599,10621,1,80,Y
STAFF-200,46,45 - 54,Female,Single,Sales,Sales Executive,3,Bachelor's Degree,Other,28,1,0,0,1,12527,1,1,2,2,1,3,3,3,No,Non-Travel,16,6,2,Yes,Ex-Employees,0,72,1051,11603,1,80,Y
STAFF-201,18,Under 25,Female,Married,Sales,Sales Executive,3,Bachelor's Degree,Technical Degree,0,0,0,0,0,10661,21,2,4,2,3,1,3,3,No,Non-Travel,4,5,2,No,Current Employees,1,41,756,14634,1,80,Y
STAFF-202,42,35 - 44,Male,Divorced,Sales,Sales Executive,2,Bachelor's Degree,Other,18,1,1,1,1,8514,14,3,3,2,3,4,1,3,No,Travel_Rarely,4,3,1,No,Current Employees,1,41,563,19487,1,80,Y
STAFF-203,46,45 - 54,Male,Single,Marketing,Marketing Manager,1,Bachelor's Degree,Medical,20,1,0,0,1,5092,8,0,3,2,2,3,1,3,No,Non-Travel,1,0,3,Yes,Ex-Employees,0,66,458,21049,1,80,Y
STAFF-204,46,45 - 54,Male,Married,Sales,Manager,2,Bachelor's Degree,Medical,26,0,0,0,0,12582,20,0,2,2,1,3,1,1,No,Non-Travel,1,0,2,Yes,Ex-Employees,0,82,972,10935,1,80,Y
STAFF-205,38,35 - 44,Male,Married,R&D,Healthcare Representative,1,High School,Medical,12,5,1,1,0,7348,11,1,2,1,2,2,4,3,Yes,Non-Travel,1,3,3,Yes,Ex-Employees,0,87,723,13820,1,80,Y
STAFF-206,30,25 - 34,Male,Married,Finance,Financial Analyst,2,Bachelor's Degree,Life Sciences,10,6,2,0,0,10064,18,0,2,3,4,2,3,2,Yes,Non-Travel,4,4,1,No,Current Employees,1,66,990,20392,1,80,Y
STAFF-207,31,25 - 34,Male,Married,IT,Data Analyst,2,Associates Degree,Marketing,15,5,1,0,1,10096,11,0,1,2,4,1,4,3,Yes,Non-Travel,23,1,2,Yes,Ex-Employees,0,85,436,8977,1,80,Y
STAFF-208,25,25 - 34,Female,Divorced,R&D,Laboratory Technician,1,Associates Degree,Other,10,0,0,0,0,8134,5,0,2,1,2,3,4,4,Yes,Travel_Frequently,1,5,1,No,Current Employees,1,55,701,16102,1,80,Y
STAFF-209,25,25 - 34,Male,Divorced,HR,HR Manager,2,Bachelor's Degree,Other,2,0,0,0,0,9321,23,1,2,1,4,3,2,3,No,Travel_Frequently,16,5,2,Yes,Ex-Employees,0,84,346,21985,1,80,Y
STAFF-210,44,35 - 44,Male,Married,Marketing,Content Creator,3,Associates Degree,Technical Degree,22,1,1,1,0,11778,10,0,3,1,3,2,1,3,No,Travel_Rarely,1,6,2,Yes,Ex-Employees,0,63,294,15954,1,80,Y
STAFF-211,34,25 - 34,Male,Married,IT,Software Engineer,2,High School,Other,9,5,1,1,1,8087,9,0,3,1,1,4,4,4,Yes,Travel_Frequently,1,5,1,Yes,Ex-Employees,0,68,917,12665,1,80,Y
STAFF-212,28,25 - 34,Female,Single,Finance,Financial Analyst,2,Associates Degree,Medical,6,0,0,0,0,8954,18,0,2,2,4,4,3,3,No,Travel_Frequently,9,3,3,No,Current Employees,1,90,685,12538,1,80,Y
STAFF-213,33,25 - 34,Female,Single,IT,Data Analyst,1,High School,Human Resources,11,2,0,0,0,5491,12,0,3,3,3,1,4,3,Yes,Non-Travel,10,2,1,No,Current Employees,1,44,721,10467,1,80,Y
STAFF-214,34,25 - 34,Male,Single,Marketing,Content Creator,1,Master's Degree,Other,17,0,0,0,0,8321,10,0,3,2,2,1,4,4,No,Travel_Rarely,14,4,3,Yes,Ex-Employees,0,78,544,15364,1,80,Y
STAFF-215,45,45 - 54,Female,Married,Sales,Manager,3,Bachelor's Degree,Life Sciences,18,3,3,1,0,12547,10,2,2,3,4,4,1,3,Yes,Travel_Rarely,1,4,1,No,Current Employees,1,87,843,16404,1,80,Y
STAFF-216,53,45 - 54,Female,Single,Sales,Sales Representative,2,Master's Degree,Other,35,2,1,1,0,9850,21,0,1,1,1,1,3,3,No,Travel_Rarely,5,6,1,Yes,Ex-Employees,0,90,947,17306,1,80,Y
STAFF-217,32,25 - 34,Male,Divorced,R&D,Laboratory Technician,3,Associates Degree,Technical Degree,15,3,0,0,0,11194,21,1,4,1,1,2,4,3,No,Travel_Rarely,1,0,1,Yes,Ex-Employees,0,65,435,17281,1,80,Y
STAFF-218,51,45 - 54,Female,Single,R&D,Research Scientist,3,High School,Technical Degree,33,3,1,1,0,13043,11,0,3,2,4,3,2,3,No,Non-Travel,14,0,2,No,Current Employees,1,30,1319,5000,1,80,Y
STAFF-219,38,35 - 44,Female,Divorced,R&D,Healthcare Representative,3,Associates Degree,Human Resources,22,6,0,0,1,10415,21,0,1,3,2,4,2,3,No,Travel_Frequently,11,1,2,No,Current Employees,1,54,1276,18256,1,80,Y
STAFF-220,50,45 - 54,Female,Divorced,HR,HR Manager,1,Bachelor's Degree,Human Resources,28,1,1,1,1,8277,15,0,2,3,1,2,3,3,No,Travel_Rarely,4,3,2,No,Current Employees,1,59,765,13270,1,80,Y
STAFF-221,43,35 - 44,Male,Divorced,R&D,Manufacturing Director,2,Bachelor's Degree,Marketing,15,0,0,0,0,10786,13,0,2,2,3,1,4,2,No,Travel_Frequently,5,5,6,No,Current Employees,1,54,429,5507,1,80,Y
STAFF-222,42,35 - 44,Male,Single,Sales,Manager,1,Master's Degree,Medical,27,1,0,0,0,6895,21,2,1,1,2,3,3,2,Yes,Travel_Rarely,1,6,1,Yes,Ex-Employees,0,79,592,11704,1,80,Y
STAFF-223,29,25 - 34,Female,Married,IT,Software Engineer,2,Master's Degree,Other,9,9,0,0,0,10797,9,0,4,2,1,2,2,4,Yes,Non-Travel,8,6,2,No,Current Employees,1,80,220,11628,1,80,Y
STAFF-224,60,Over 55,Female,Divorced,Finance,Finance Manager,1,Bachelor's Degree,Technical Degree,41,4,2,0,0,5307,18,1,3,2,1,4,3,3,No,Travel_Rarely,6,0,6,No,Current Employees,1,61,689,16069,1,80,Y
STAFF-225,25,25 - 34,Female,Divorced,HR,HR Manager,1,Associates Degree,Life Sciences,11,0,0,0,0,4716,15,0,2,3,4,3,4,3,Yes,Non-Travel,20,0,1,Yes,Ex-Employees,0,43,610,17930,1,80,Y
STAFF-226,36,35 - 44,Female,Married,IT,Data Analyst,1,Bachelor's Degree,Marketing,10,3,1,1,1,6479,14,1,2,1,2,2,3,3,No,Travel_Rarely,28,5,2,No,Current Employees,1,49,561,15839,1,80,Y
